id,date,stream_name,stream_order,veg_type,river_morphology,intermittent,river_gradient,sed_type,latitude,longitude,water_height,sed_deposition,algal_mats,macrophytes,ph,do_mgl,flow_variation,contamination,sed_type_recode,river_gradient_recode,veg_type_recode,veg_type_recode2,veg_type_recode3,algal_mats_recode,slope,mgL_per_hr
S19S_0021,20-Aug-19,Black Warrior,6,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),32.54082,-87.79828,21,Shallow waters near the shore,No,Low,7.5,6.55,Natural flow (seasonal),Yes,Silt,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,No,NA,NA
S19S_0022,5-Aug-19,Mayfield Creek,7,Broadleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,32.96156,-87.40821,9,Inside bend of a stream,No,No,7,7.45,Natural flow (seasonal),No,Sand,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,0,0.21666666666666667
S19S_0023,6-Aug-19,Arikaree River,4,Broadleaf deciduous tree. Grass,Single-channel meandering,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Sand,39.75861,-102.44896,12.5,Shallow waters near the shore,High,High,7.5,3.83,Natural flow (seasonal). Irrigation pumping,No,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,High,-0.12,7.24
S19S_0024,18-Aug-19,Blue River,4,Broadleaf deciduous tree. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Bedrock (primarily),34.44223,-96.62255,29.5,Pool lip,Low,No,7,8.68,Natural flow (seasonal),No,Bedrock,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,NA,NA
S19S_0025,6-Aug-19,Pringle Creek,3,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,33.37834,-97.78307,9,Shallow waters near the shore,High,High,7,5.04,Natural flow (seasonal). Evapotranspiration. Occasional seasonal drying due to arid conditions,No,Sand,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,High,-0.13,7.68
S19S_0026,5-Aug-19,Como Creek,1,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Bedrock (primarily),40.03496,-105.54371,7,Pool lip,No,Low,6,8.25,Natural flow (seasonal),No,Bedrock,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.05333333333333333,3.106666666666667
S19S_0027,13-Aug-19,West St. Louis Creek,1,Needleleaf evergreen tree. Shrub,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),39.89078,-105.91152,9,Pool lip,No,Low,6.5,9.57,Natural flow (seasonal). Glacial melt,No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.016666666666666666,1.0666666666666667
S19S_0028,6-Aug-19,Sycamore Creek,4,Broadleaf deciduous tree. Shrub,Multi-channel,Intermittent,Relatively steep gradient (e.g. mountainous or hilly terrain),Sand,33.750788,-111.508001,22,Pool lip,High,High,7.5,"NA",Natural flow (seasonal),No,Sand,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,High,-0.07,4.22
S19S_0029,5-Aug-19,Red Butte Creek,3,Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),40.78466,-111.79582,2,Downstream from obstacles,High,No,7.5,9.72,Natural flow (seasonal),No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,High,-0.06,3.58
S19S_0030,13-Aug-19,Martha Creek,2,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),45.792279,-121.929539,9,Shallow waters near the shore,No,No,6,9.1,Natural flow (seasonal),No,Gravel,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.05,2.87
S19S_0031,19-Aug-19,McRae Creek,1,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively steep gradient (e.g.. mountainous or hilly terrain),Gravel/cobble (>2mm),44.2602364,-122.1647132,9,Riffle,No,High,6,9.56,Natural flow (seasonal). Large woody debris,No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.01,0.43666666666666665
S19S_0032,26-Aug-19,Teakettle 2 Creek,1,Needleleaf evergreen tree. Shrub,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),36.95503,-119.02367,10.5,Downstream from obstacles,No,Low,7,9.35,Natural flow (seasonal),No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.05,2.88
S19S_0033,12-Aug-19,Big Creek,2,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),37.0582,-119.2557,19,Inside bend of a stream,Low,No,7,9.46,Natural flow (seasonal),No,Gravel,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,-0.013333333333333334,0.8166666666666667
S19S_0034,5-Aug-19,La Jara,1,Needleleaf evergreen tree. Grass,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),35.8678,-106.5232,5.4,Pool lip,Low. The algal mat coverage is not on sediment but nearby,Low,7,"NA",Natural flow (seasonal),No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,-0.04,2.53
S19S_0035,12-Aug-19,Marshall Gulch,1,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),32.42728,-110.758821,13,Downstream from obstacles,Low,Low,6.5,5.88,Natural flow (seasonal),No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,-0.05333333333333333,3.336666666666667
S19S_0036,5-Aug-19,Columbia,8,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),46.372735,-119.271921,23,Shallow waters near the shore,Low,No,7,"NA",Dam (hydropower or other),No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.065,3.65
S19S_0037,12-Aug-19,White Clay Creek,2,Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),39.8578837,-75.7830477,19.5,Downstream from obstacles,Low,Low,6.5,8.97,Natural flow (seasonal),Yes,Gravel,Gentle gradient,Grass,Grass,Grass,Low,-0.06666666666666667,3.81
S19S_0038,12-Aug-19,White Clay Creek,2,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),39.8595115,-75.7840693,27,Pool lip,No,No,6.5,8.62,Natural flow (seasonal),Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.04,2.22
S19S_0039,5-Aug-19,East Fork Poplar Creek,3,Broadleaf deciduous tree. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),35.966319,-84.358455,7.6,Downstream from obstacles,No,No,7.5,6.13,Natural flow (seasonal),Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.06,3.7
S19S_0040,5-Aug-19,Kings Creek (N04D),1,Shrub. Grass,Single-channel meandering,Intermittent,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),69.087692,-96.584798,3,bison crossing in riffle,High,No,7.5,8.62,Natural flow (seasonal),No,Gravel,Steep gradient,Shrub,Shrub,Shrub,High,-0.15,9.16
S19S_0041,5-Aug-19,Crooked River,6,Broadleaf deciduous tree. Grass,Multi-channel,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,44.300038,-120.858255,10,Shallow waters near the shore,No,Low,6.5,"NA",Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,Yes,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.02,1.5
S19S_0042,5-Aug-19,Shark River Slough,1,Broadleaf evergreen tree,Multi-channel,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),25.40979,-80.96423,65,Shallow waters near the shore,No,Low,> 7.5,3.9,Natural flow (seasonal). Tidal. Evapotranspiration,No,Silt,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,-0.13,8.075
S19S_0043,5-Aug-19,Dorn Creek,3,Shrub. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),43.145025,-89.472023,30,Shallow waters near the shore,No,High,7.5,"NA",Natural flow (seasonal),No,Silt,Gentle gradient,Shrub,Shrub,Shrub,No,-0.12,6.92
S19S_0044,6-Aug-19,Huger Creek,3,Needleleaf deciduous tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),33.130966,-79.810626,22,Inside bend of a stream,Low,No,6,"NA",Natural flow (seasonal). Tidal. Evapotranspiration,No,Silt,Gentle gradient,Needleleaf deciduous,Needleleaf,deciduous,Low,NA,NA
S19S_0045,5-Aug-19,Erpe River sidechannel,"NA",Broadleaf deciduous tree. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,52.476556,13.625541,4,Downstream from obstacles,No,Low,7.7 (with WTW sensor). strip: 7.5,"NA",discharge of wastewater treatment plant,Yes,Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0046,27-Aug-19,Nigardsbreen River,"NA",Grass. Not vegetated,Multi-channel,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Sand,61.6755,7.21221,10,Shallow waters near the shore,Low. No,No,6.5 (8.6 from pH-meter) - note the low solute concentration (EC = 2.4 uS/cm),"NA",Glacial melt,No,Sand,Gentle gradient,Grass,Grass,Grass,No,NA,NA
S19S_0047,13-Aug-19,Kuparuk River,"NA",Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),68.64274,-149.40339,76,Shallow waters near the shore,No,No,6.5,10.26,Natural flow (seasonal),No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,NA,NA
S19S_0048,12-Aug-19,Rio Cupeyes,"NA",Broadleaf evergreen tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),18.11025,-66.98638,18,Downstream from obstacles,No,No,7.5,7.23,Natural flow (seasonal),No,Gravel,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,NA,NA
S19S_0049,13-Aug-19,Rio Guilarte,"NA",Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),18.17424,-66.80038,11,Shallow waters near the shore,Low,Low,7.5,7.2,Natural flow (seasonal),Yes,Gravel,Gentle gradient,Grass,Grass,Grass,Low,NA,NA
S19S_0050,13-Aug-19,Oksrukuyik Creek,"NA",Shrub,Single-channel meandering,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),68.66967,-149.14041,5,Shallow waters near the shore,No,No,6.5,12.44,Glacial melt. Precipitation,No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,-0.026666666666666665,1.7833333333333332
S19S_0051,14-Aug-19,Caribou Creek,"NA",Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),65.15298,-147.50249,3,Inside bend of a stream,No,No,6.5,12.9,"NA","NA",Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.015,0.8049999999999999
S19S_0052,20-Aug-19,Platte Kill,2,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g.. valleys),Gravel/cobble (>2mm),42.13233,-74.69546,8.5,Shallow waters near the shore,No,No,6.5,"NA","NA","NA",Gravel,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.08499999999999999,4.9350000000000005
S19S_0053,25-Aug-19,Farmington,1,Broadleaf deciduous tree. Shrub,Single-channel meandering,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Sand,41.869617,-72.796633,22,Downstream from obstacles,No,No,6.5,"NA","NA","NA",Sand,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.09,5.555
S19S_0054,5-Aug-19,Pamunkey River,5,Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),37.57267,-77.0237,35,Shallow waters near the shore,High,No,6.7,5,Natural flow (seasonal),No,Silt,Gentle gradient,Shrub,Shrub,Shrub,High,NA,NA
S19S_0055,5-Aug-19,South Fork Polouse,4,Broadleaf deciduous tree. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),46.732323,-117.180621,38,Downstream from obstacles,Low,No,7.5,"NA",Natural flow (seasonal),Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,NA,NA
S19S_0056,11-Aug-19,Nakdong,"NA",Shrub. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,35.1633,128.9646,20,Shallow waters near the shore,No,High,6.5,"NA",Natural flow (seasonal),No,Sand,Gentle gradient,Shrub,Shrub,Shrub,No,NA,NA
S19S_0057,29-Aug-19,Tims Branch,2,Broadleaf deciduous tree. Shrub,Multi-channel,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),33.337694,-81.718237,2.1,Inside of a very slight curve in stream. but also very shallow near the shore,No,No,7.0 (6.74 with pH probe),8.365 mg/L (measured 2 days earlier),Natural flow (seasonal),No,Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0058,18-Aug-19,Jordan River,"NA",Broadleaf evergreen tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),32.89930396,35.61364573,56,Inside bend of a stream,No,No,7.5,"NA",Natural flow (seasonal),No,Silt,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,NA,NA
S19S_0059,12-Aug-19,Heel Creek tributary,1,Needleleaf evergreen tree. Shrub,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Sand,48.16841972,-117.3913007,8.5,Pool lip,No,No,6.5,"NA",Natural flow (seasonal),No,Sand,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.12,6.92
S19S_0060,19-Aug-19,Yakima River,7,Broadleaf deciduous tree. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),46.253117,-119.4769597,49,Shallow waters near the shore,Low,High,8,13.31,Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.04666666666666666,2.7333333333333334
S19S_0061,12-Aug-19,Black Earth Creek,1,Shrub. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),43.1095,-89.6405,42,Shallow waters near the shore,No,Low,7.5,7.56,Natural flow (seasonal),No,Silt,Gentle gradient,Shrub,Shrub,Shrub,No,NA,NA
S19S_0062,13-Aug-19,Gunnison River,5,Broadleaf deciduous tree. Shrub,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),38.544667,-106.950472,42,Inside bend of a stream,No,No,7.5,"NA",Natural flow (seasonal),No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,No,0,0.1
S19S_0063,12-Aug-19,Lower Colorado,6,Broadleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),30.250384,-97.70953,35,Inside bend of a stream,No,Low,7.5,"NA",Dam (hydropower or other),No,Gravel,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,-0.01,0.5166666666666667
S19S_0064,12-Aug-19,Shavers Creek,4,Broadleaf deciduous tree. Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),40.64061,-78.00808,11,Inside bend of a stream,Low,Low,7.7,"NA",Natural flow (seasonal),Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.13,7.67
S19S_0065,2-Sep-19,Russian River,5,Needleleaf evergreen tree. Broadleaf evergreen tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),38.50916,-122.883392,40.64,Shallow waters near the shore,Low,High,5,"NA",Natural flow (seasonal). Dam (hydropower or other),Yes,Gravel,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,NA,NA
S19S_0066,18-Aug-19,Rio Grande,7,Shrub. Grass,Multi-channel,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,35.198511,-106.643131,10,Shallow waters near the shore,No,No,6.5,"NA",Natural flow (seasonal). Dam (hydropower or other). Evapotranspiration,Yes,Sand,Gentle gradient,Shrub,Shrub,Shrub,No,-0.01,0.83
S19S_0067,12-Aug-19,Augusta Creek,3,Shrub. Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),42.39201,-85.354,5 to 25,Inside bend of a stream,No,Low,7.5,9.17,Natural flow (seasonal),No,Gravel,Gentle gradient,Shrub,Shrub,Shrub,No,NA,NA
S19S_0068,12-Aug-19,Watershed 01 stream,3,Needleleaf evergreen tree. Broadleaf deciduous tree,Multi-channel,Intermittent,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),44.207273,-122.257913,3,Downstream from obstacles,No,No,6,"NA",Natural flow (seasonal). Evapotranspiration,No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.01,0.85
S19S_0069,12-Aug-19,North Fork Caspar Creek,1,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),39.362129,-123.734753,4,Shallow waters near the shore,No,No,6.5,"NA",Natural flow (seasonal),Yes,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.006666666666666667,0.35
S19S_0070,12-Aug-19,South Fork Caspar Creek,1,Needleleaf evergreen tree. Broadleaf evergreen tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),39.339892,-123.752441,6,Riffle,No,No,6.5,"NA",Natural flow (seasonal),Yes,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.013333333333333334,0.68
S19S_0071,12-Aug-19,Gordon Creek,1,Needleleaf deciduous tree. Grass,Single-channel meandering,Intermittent,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),40.0128376,-105.4589026,10,Downstream from obstacles,Low,High,7,"NA",Natural flow (seasonal). Evapotranspiration,No,Gravel,Steep gradient,Needleleaf deciduous,Needleleaf,deciduous,Low,-0.16499999999999998,9.84
S19S_0072,12-Aug-19,Sawmill Brook,1,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,42.5235479,-71.18851406,21,Inside bend of a stream,No,No,6,8.19,Natural flow (seasonal),"NA",Sand,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.05,2.9
